date,tk,px,sl,tp,initial_sl,tp1_price,last_px,status,tag,entry_metric,curr_metric,sources,sector,mcap,feature_score,features,partial_tp_hit,close_date
2026-05-05,3110.T,5632.0,5632.0,7037.93,5319.57,6100.65,5080.0,✅ TRAIL EXIT,💥 BB 擠壓,,RS: 99,"['TOPIX_Small500_小型', 'JP熱門']",Consumer Cyclical,547897049088,0,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 59.9}",True,2026-05-13
2026-05-07,4565.T,1102.0,1102.0,1268.71,1046.43,1185.36,1141.0,✅ TRAIL EXIT,⚡ 缺口動能,RS: 87,RS: 87,['TOPIX_Small500_小型'],Healthcare,80631685120,1,"{'mss': True, 'smc': False, 'amd': False, 'ml_rsi': 63.9}",True,2026-05-15
2026-05-07,6013.T,2814.0,2760.14,3056.36,2760.14,2894.79,2760.14,❌ STOP LOSS,🏆 VCP 突破,,RS: 80,['TOPIX_Small500_小型'],Industrials,245194506240,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 52.3}",False,2026-05-14
2026-05-07,6254.T,4070.0,4070.0,4841.43,3812.86,4455.71,4841.43,✅ MAX TP,⚡ 缺口動能,RS: 88,RS: 92,['TOPIX_Small500_小型'],Industrials,174022524928,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 68.6}",True,2026-05-15
2026-05-07,6367.T,24800.0,23737.14,27988.57,23737.14,26394.29,23737.14,❌ STOP LOSS,⚡ 缺口動能,RS: 88,RS: 85,['NK225'],Industrials,6056594374656,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 79.2}",False,2026-05-12
2026-05-07,6724.T,2412.5,2412.5,2777.0,2291.0,2594.75,2777.0,✅ MAX TP,⚡ 缺口動能,RS: 84,RS: 87,"['NK225', 'TOPIX_Mid400_中型']",Technology,999734575104,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 72.9}",True,2026-05-25
2026-05-07,7745.T,3010.0,2938.57,3331.43,2938.57,3117.14,2938.57,❌ STOP LOSS,💥 BB 擠壓,,RS: 93,['TOPIX_Small500_小型'],Technology,88461041664,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 59.1}",False,2026-05-12
2026-05-08,5334.T,8679.0,8679.0,9896.25,8408.5,9084.75,9896.25,✅ MAX TP,🏆 VCP 突破,,RS: 93,['TOPIX_Mid400_中型'],Consumer Cyclical,1921471610880,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 55.2}",True,2026-05-14
2026-05-11,1835.T,5580.0,5441.43,6203.57,5441.43,5787.85,5441.43,❌ STOP LOSS,💥 BB 擠壓,,RS: 88,['TOPIX_Small500_小型'],Industrials,144310976512,1,"{'mss': True, 'smc': False, 'amd': False, 'ml_rsi': 64.0}",False,2026-05-14
2026-05-11,1893.T,2066.0,1909.43,2535.71,1909.43,2300.86,1909.43,❌ STOP LOSS,⚡ 缺口動能,RS: 94,RS: 93,['TOPIX_Mid400_中型'],Industrials,428726419456,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 80.8}",False,2026-05-15
2026-05-11,2914.T,6025.94,5808.91,6677.02,5808.91,6351.48,5808.91,❌ STOP LOSS,⚡ 缺口動能,RS: 81,RS: 81,['NK225'],Consumer Defensive,12351163072512,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 68.7}",False,2026-06-22
2026-05-11,6055.T,2077.0,1953.14,2448.57,1953.14,2262.79,1953.14,❌ STOP LOSS,⚡ 缺口動能,RS: 84,RS: 84,['TOPIX_Small500_小型'],Industrials,244705312768,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 71.7}",False,2026-05-15
2026-05-12,8020.T,2273.5,2204.61,2583.52,2204.61,2376.84,2204.61,❌ STOP LOSS,💥 BB 擠壓,,RS: 90,['TOPIX_Mid400_中型'],Industrials,364689195008,2,"{'mss': True, 'smc': False, 'amd': True, 'ml_rsi': 75.3}",False,2026-05-20
2026-05-13,3101.T,1729.0,1617.43,2063.71,1617.43,1896.36,1617.43,❌ STOP LOSS,⚡ 缺口動能,RS: 93,RS: 92,['TOPIX_Small500_小型'],Basic Materials,152575197184,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 89.7}",False,2026-05-18
2026-05-13,4272.T,2180.5,2108.29,2397.14,2108.29,2288.82,2108.29,❌ STOP LOSS,⚡ 缺口動能,RS: 91,RS: 91,['TOPIX_Mid400_中型'],Basic Materials,303698083840,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 91.4}",False,2026-05-14
2026-05-13,6923.T,3543.0,3543.0,4019.79,3384.07,3781.39,3619.0,✅ TRAIL EXIT,⚡ 缺口動能,RS: 82,RS: 82,['TOPIX_Mid400_中型'],Consumer Cyclical,433963827200,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 86.3}",True,2026-06-22
2026-05-13,8086.T,1630.5,1605.0,1745.25,1605.0,1668.75,1605.0,❌ STOP LOSS,🏆 VCP 突破,,RS: 78,['TOPIX_Mid400_中型'],Healthcare,263155040256,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 67.8}",False,2026-05-18
2026-05-13,8242.T,2485.0,2485.0,2803.54,2414.21,2591.18,2803.54,✅ MAX TP,🏆 VCP 突破,,RS: 88,['TOPIX_Mid400_中型'],Consumer Defensive,310877749248,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 57.3}",True,2026-06-25
2026-05-14,1332.T,1315.5,1261.29,1478.14,1261.29,1396.82,1261.29,❌ STOP LOSS,🏆 VCP 突破,,,"['NK225', 'TOPIX_Mid400_中型']",Consumer Defensive,370901450752,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 68.8}",False,2026-05-15
2026-05-14,3099.T,3363.0,3183.5,3901.5,3183.5,3632.25,3183.5,❌ STOP LOSS,⚡ 缺口動能,RS: 90,RS: 88,"['NK225', 'TOPIX_Mid400_中型']",Consumer Cyclical,1272602427392,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 84.5}",False,2026-05-20
2026-05-14,3673.T,471.22,471.22,552.68,444.07,511.95,466.76605129539035,✅ TRAIL EXIT,⚡ 缺口動能,RS: 85,RS: 87,['TOPIX_Small500_小型'],Technology,81281007616,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 68.3}",True,2026-05-26
